date	username	to	replies	retweets	favorites	text	geo	mentions	hashtags	id	permalink	
10.9.2020 21.33	JoeBiden	MarkCavitt	2264	9365	26094	Donald Trump is holding a rally in Michigan today—while also refusing to fully fund their National Guard. These are frontline workers against COVID-19, responsible for testing and distributing food and medical supplies. Michiganders need a pandemic response—not a pep rally.				1,30E+18	https://twitter.com/JoeBiden/status/1304171037240619008	
10.9.2020 20.45	JoeBiden		14350	21423	114697	Do your part. Wear a mask.				1,30E+18	https://twitter.com/JoeBiden/status/1304158957687263235	
10.9.2020 20.00	JoeBiden		2922	5982	20574	Make no mistake: Climate change is already here — and we’re witnessing its devastating effects every single day. We have to get President Trump out of the White House and treat this crisis like the existential threat that it is.				1,30E+18	https://twitter.com/JoeBiden/status/1304147637201854464	
10.9.2020 18.50	JoeBiden		1476	5984	22144	To everyone struggling right now, I want you to know that you are not alone. You’re seen, you’re heard, and you’re loved. If you need help, please don’t hesitate to visit http://SuicidePreventionLifeline.org. Better days lie ahead, I promise. #WorldSuicidePreventionDay			#WorldSuicidePreventionDay #WorldSuicidePreventionDay	1,30E+18	https://twitter.com/JoeBiden/status/1304130016955990017	
10.9.2020 17.50	JoeBiden	nytimes	2206	7125	35937	The images coming out of California, Oregon, Washington, and other Western states are truly horrifying. If you’re in an impacted area, please heed the warnings from your local authorities and stay safe. Jill and I are keeping you all in our prayers.				1,30E+18	https://twitter.com/JoeBiden/status/1304114917352456192	
10.9.2020 16.38	JoeBiden		3929	16804	45370	How many more people have to suffer because of President Trump's lies?				1,30E+18	https://twitter.com/JoeBiden/status/1304096798060019713	
10.9.2020 15.54	JoeBiden		17440	68566	303899	Donald Trump said he didn't want to tell the truth and create a panic. So he did nothing and created a disaster.				1,30E+18	https://twitter.com/JoeBiden/status/1304085725009248256	
10.9.2020 13.38	JoeBiden		965	2667	18448	I got to meet Lou Brock back in March. I joked that I had really just come to St. Louis to see him—and let me tell you, our meeting was a real highlight. Lou was a true legend and a man of integrity. Jill and I are keeping his loved ones in our prayers during this difficult time.				1,30E+18	https://twitter.com/JoeBiden/status/1304051499358662656	
10.9.2020 1.28	JoeBiden		7466	24983	67429	Donald Trump knew that COVID-19 was dangerous. He knew it was deadly. And he purposely downplayed it. Now, nearly 200,000 Americans are dead. It’s unconscionable.				1,30E+18	https://twitter.com/JoeBiden/status/1303867788759568384	
9.9.2020 23.35	JoeBiden		50077	50777	374360	You deserve a president who tells you the truth.				1,30E+18	https://twitter.com/JoeBiden/status/1303839351671980032	
